id,text
1,i e ue u eh eh
2,m a i an ian ai ai i ang oh ak ian e ai ai e ian iah a ue ue it iong iong i uat iunn ue i uat it ai ut o u
3,ai uan ong ue iau au iah i au i ik io an i an a u ah iong e ang i eh ian ue e
4,ing ang iann an ing i an e ong ong uann in ann au uann uann ing it e uann ak e im ai ong am uah it iann ua oo ah uann e iann iu ing u iann iam it uann i ah
5,oo eh ang i o i eh ai e ih iann i ia
6,iau m oh u ang ui ioh o in e i ik ang ong iann eh ai io inn
7,i a i ong uan a e i iau iu it ian ing ok ui ing at ai ik ai ong e i ing i it e ing i
8,an e in a ai am ang uan i it iap it ak in ng iap ng ak in ann iap iah ian inn eh u ang an e ng
9,it it un a ut a ui e it ang un ui iann ang i i ai ui
10,i ok ah Iran a u iong ong i ik i u Iran i i e i ah in ing
11,ing ua ing i ing un e i iau oo o ut ai i u ah ue ai u in iat i i ai ing u iat uan u oh oh in ui in ut in uan iah e i u e i u ah ue of o at oh o i in oh a ong ai i iann au ing
12,an it un i ok ang ai ng iam uann ing
13,a looh i e ng e ak au
14,ng iann uann oo o oo
15,iann ih au oo e i it o ah o
16,it ui ang a oo oh e i ing ai e u u u iau ah iann o uann
17,hainnh in a ang u inn o ui m o oo eh ng
18,a ng ong ue in uah oh ai am oh e u ong ai iong ioh it i oo ang i o uann e ah uan iong ing iu ing ai i ian uan o
19,ing oh ai e i im ai am u uan iok e am ak ing u a iann iau iunn in
20,o ing o uat oo un i it e
21,it a i uan u in ok i ng ang i ai e a i ai i ong u i ue
22,oh eh i ing e uah eh oo i
23,ong ue ioh ing ing m ang i i io
24,in iu in iu ui ang ang oo e o o o ua ang in ong ue a ang uan iann un ai ai iong iong uan
25,a e a i eh i ai ak ah i eh i ai am
26,in o i o ing sop iah e ak ai ong e au au ih iann
27,au ing ong ui ioh i ai eh ia e uan a in ua au an o m i o eh o ah i u iann iah iau i iah e iong im
28,in ui o u i am oo ing e un e oo i e ing iong ioh it iam iat o e in it
29,ua oh ai eh ai iau ai ue ing i e an uan iat i o ing ng i ue ing i e ng ing ang oo am i au ak ing iu ing i i i a a
30,iam iam ik inn a o o u in
31,i it e au au i am o un
32,iah am ioh iu uat ian in OPEC e ui ut o
33,e ian ong ia honnh au e in ang in ai i o ian a ai a at e ih eh ut ai iong ian it e
34,au ann iau u iok e iau ian ang e uann i ah i iok a oo in a
35,it uann oo au ng ong ah i i iann o oh au
36,u ang i eh o u ang i eh o ah
37,e o o ing m a i ann ak iunn eh ui iong iunn uan i iunn un ai ia ia iah e ang i uainn
38,Sony iu i a am u o iong
39,ai ang ang o o u ing ui ua ang e ong ua okak iak
40,au ann uan u in e ang iong a i e u i ia ong un ak it i uan ing ing i oh ai ua it ua oo
41,ngh m iann iau
42,ai ai ip oo i ah i e ai o ing
43,un ing iu iam ih o eh ai a iah a uat i e ua io i it ua ih iann iann ang iah
44,i it iam oo oo
45,i i ui o ui it ioh it iah ang a e
46,o o o ah a iau uai an o e it u o ah ai au honnh uai
47,ah ong a e
48,an ing i im iok a iau ian e uann uann eh a ong iau ian e i ai iann o ua e inn a iah ann iap ian inn eh
49,iann ih ang ong i u in ak uann e i m
50,iann
51,oo oo ai i iann ing iong e au ong ang u uan ai uan ue o ang e iau ia oo oo ai e
52,ioh ian oo e ah iat ong i e in un o iok ua e
53,ang ua o ann it iap e ing i uan iap ang ng i
54,ui Putin ai ong e ai iau i iong e ui ong i ok ah au iu it ioh ing i
55,e ang e au uan i o it e
56,ai ui ng eh
57,ui in u ai iong ik i iann uan in iong an e in ing eh an uann
58,it ing ai e ah
59,ong ai ai in in u it ai in au u ah ui o ang ong ong
60,it e ang ai e u i mu iau oh io io in a ang un ai iah e
61,u iah e ang a i e it e oo o i i iam iunn e ua o uann i ing oo ang
62,au a onn onn io
63,ua a i ai o e ai ah
64,ua it ai ia ue in iah a i iap ai ia uan oo uann ue
65,ann iu iu oo o in i un
66,ing ua un it iam ai iong an ua e u ui an a un ua ui ong su──mia u ing iong u ing ing ing
67,mh a ah ah
68,ui ang e i i o ing ai au it ai ang phuh ai ang
69,it a a i ang uan mah
70,ui it e ang ong i ok ip e ui it e ang ong u a i e ing ua ing iam ah i ik
71,u ong e ang ai ik in oh ah i i in au oo e ang ong ai i
72,an ap i ing a ip WTO e e ih iann ah o ioh ueh
73,o im o e uan e
74,iau m oh ai uan ian iann i ua e enn ia o un an uann ua ing uan ong e ong i
75,ua e a a ong ua ai i ai i a
76,ue i inn uai eh ue ang au ah
77,a uan ui e iunn ong ian i e u
78,iong ing ong
79,ua
80,u i uan ah i u o ing i i ong it iong i am uan ong ong e iong o ong in u
81,o ua it e
82,e eh ainn a in ing u ann e iu iu ann e ik ui ong o ang
83,i ut o e ah ian ing ai e i ann ong ai e i ian u io an ian
84,in iunn inn ue at o ng ing i ue iah i ong ai iong ut i ai o
85,o it ua in e o iann e ah i e ai i oo oo ann ann iong i ing iat ai in e e iah
86,a an a a e ue ah
87,ioh ua it a u i ah a ua
88,i au ng ui iu eh au ok ok ah iau oh iunn eh ah ang ua ui oo ooh
89,iunn eh a i uann VIP
90,in ing ui ang ua au ing ik e ia iunn David Russia u o a ia un iunn i ut it iong o uat u in e ong iam au uah o uat oo ing iong u ai e iat o ai o ing i ok e i ik im i iong ue a i ioh e at ang it a ng
91,oo i ua e ah i e au
92,inn i iong e ng oo im iah an huenn ang oo oo ong e u it ang iong i o ip ua e ang
93,ah eh iann oo
94,an e o am ok
95,an e ah
96,i ing in iau oh u in ng e oo ai iann
97,ua ong i it e oo ng au ah un ua e eh ah i ong ue i it a i iann ai oo ah
98,u ua iong oo o in iunn Clinton i ueh i au i New York e Chrome i a ai ak it iunn ian uat ong e
99,oo iam i a N V N u oo
100,ai iah ai ui honnh
101,ong oo e ong ui e uann o i in ing uan ui ua ing ik ah ok ip ik ik e iau ian
102,au iann i ah uah o o uah oh i ah i m ang ua ue iann
103,an i
104,at ak a u iau au i i ua oh u iann ih ik ik
105,i iann ah in ik eh ut ut
106,i ui ioh io ang e ing ian ong ong o uan a ih ing ui i au it ut ai uan ang ip e ua i inn ian iann
107,ai iunn e ai i a ong i uai ai o ua o enn au uat ue ue ah ua iunn uai o i uah uann ioh uah eh i e o ue
108,i iann ua o ng ai o uan ue ah
109,Sau i it ap au ue in ok ong Zuckerman in i iann ueh iah ing i e ui
110,iong oo m ing oo i ok H it N iu e e penn ok an u
111,ng iunn inn ua o e i iah ioh i e oo
112,in ik i it ui oo ue a oo in a in ui ui ng iam ak ut ua ng ah ang ing ue in ip e iu ut iah ue in
113,i an uann in e ang uann ian inn e un e iong it ah
114,a eh i ua
115,a ua e ong e iah ui
116,ooh m
117,o iann
118,ng ang in e uat ut in it ong i i ing iunn a i uat ong m oh e ng oh in ui
119,uann oh ua ueh ah au e iu i ai ak ai e i o ang in o
120,Ikea e ih iann ai o au ian ua u o au e o
121,an e am oo a at ok i e i ing a
122,iunn uann ai ong uann ai e a ah iunn a a i oh
123,ing i i an au ah ak e in i au i ik un i ing i in ing ai ing uan o oo iau ah ing i ing iau un i ai ui iam a iau iah ai ing i
124,a an i ak uat e ai iam
125,i a oh iam i ann ap ue ah honnh ua iah ah oo i iah
126,an un ann iong ing ing ai o un
127,io a ai e u o ing iah ian inn ah
128,i e ue u ong i ai iu iu e un a in a eh
129,ong o ng u o eh i ah ang iu ah
130,iann i i honnh i iann iau au ai i au ue o ia
131,in iam o ong ia u i e it iu iu ua e i au a ua a in ong iah ah uann ng i ing ik ang uah ah
132,o un ian i iah ian ai ak e iann iann u u am ia ui ai e u in ak e ong u iau
133,ui it e ak oo uann u ong i u ah ue ong e io ui u ian u iau e iu ok e ang e iong it ua ian i
134,it ai iah ong o
135,ua ong uah e o buai ah
136,ong i i io e ua oo ai iah e a ua enn it e ong iann
137,iu ong ing ian inn iu ong ing ian inn i a u ng eh ue i iann au e i ui ai io an o ia
138,o
139,o it uan e au ui iong ian ian ai e ng uan ng i i uann ai
140,a am a
141,ong un a
142,in ai ue iau an uann
143,ap i ue a iak ua am u iau in
144,a i au ang oo e uah eh o i ong oo a i i iah uah eh o i phiam oo e i ang uan o ang ai u uat ui m ang ut m ioh i
145,i ong eh
146,e oo uan e ai ing ang ah it in uann ai an ai u ut i e ing iong
147,im uann
148,u mue oo ua iah
149,ua a ut ah e ing it u
150,i e ak iap ah iau in
151,ai ia m i ah
152,ua o u ing oo u an ing i ai uan ian ai i e ann ap i i
153,iunn eh oo e ai oh ah uan i iunn eh oo a ing oh ah ing ok iunn eh oo e ia oh ah iong it oo i
154,ah it am i it un it i e uah ing ok eh
155,in ui ue am iann iann u iau uah iau i iau ue ing oo i iann uh uh
156,o in e eh ah ui ui i ai
157,i i ok Putin ing ok oo ong ng iam e i ing u in u ong e ia am uan ong ong e
